time,Rspec_hyper
0.000000000000000000e+00,2.583324566046315551e-01
1.005025125628140753e-01,2.615609112871830622e-01
2.010050251256281506e-01,2.639655709603697109e-01
3.015075376884422398e-01,2.651913364883777824e-01
4.020100502512563012e-01,2.574014556812224686e-01
5.025125628140704181e-01,2.507086667844486971e-01
6.030150753768844796e-01,2.452138172978129971e-01
7.035175879396985410e-01,2.375835709733212231e-01
8.040201005025126024e-01,2.316660664922444157e-01
9.045226130653266639e-01,2.275223427955682665e-01
1.005025125628140836e+00,2.233945797683305479e-01
1.105527638190954898e+00,2.138902754923860394e-01
1.206030150753768959e+00,2.050247159750255288e-01
1.306532663316583021e+00,1.970279731475106932e-01
1.407035175879397082e+00,1.901299882455619872e-01
1.507537688442211143e+00,1.844851765203427418e-01
1.608040201005025205e+00,1.801580584863452794e-01
1.708542713567839266e+00,1.772102402131909005e-01
1.809045226130653328e+00,1.756509003786655421e-01
1.909547738693467389e+00,1.754185414157865830e-01
2.010050251256281673e+00,1.765229618643320564e-01
2.110552763819095734e+00,1.788375856490404814e-01
2.211055276381909795e+00,1.823346794791660397e-01
2.311557788944723857e+00,1.869074996054564952e-01
2.412060301507537918e+00,1.924551505109755034e-01
2.512562814070351980e+00,1.972421730723915578e-01
2.613065326633166041e+00,2.020058009359361195e-01
2.713567839195980103e+00,2.075552451708249091e-01
2.814070351758794164e+00,2.138430318409246522e-01
2.914572864321608225e+00,2.207800238857799968e-01
3.015075376884422287e+00,2.282961660421088668e-01
3.115577889447236348e+00,2.362670518598786462e-01
3.216080402010050410e+00,2.445239792704555770e-01
3.316582914572864471e+00,2.528951811963253138e-01
3.417085427135678533e+00,2.611388805441411942e-01
3.517587939698492594e+00,2.689681882453565653e-01
3.618090452261306655e+00,2.760713426079051680e-01
3.718592964824120717e+00,2.708711977816699035e-01
3.819095477386934778e+00,2.576969919186369307e-01
3.919597989949748840e+00,2.451917859746866601e-01
4.020100502512563345e+00,2.335793751609342994e-01
4.120603015075377407e+00,2.231334324849284512e-01
4.221105527638191468e+00,2.139454282953175412e-01
4.321608040201005529e+00,2.062114972461402962e-01
4.422110552763819591e+00,2.000844453492591768e-01
4.522613065326633652e+00,1.956608469386186822e-01
4.623115577889447714e+00,1.930412615150950417e-01
4.723618090452261775e+00,1.924100762621839822e-01
4.824120603015075837e+00,1.877073224540016794e-01
4.924623115577889898e+00,1.780543800998772852e-01
5.025125628140703959e+00,1.697387643833878079e-01
5.125628140703518021e+00,1.629650885514641601e-01
5.226130653266332082e+00,1.577958464913871983e-01
5.326633165829146144e+00,1.542337751167374982e-01
5.427135678391960205e+00,1.522968514471132462e-01
5.527638190954774267e+00,1.518547298659650713e-01
5.628140703517588328e+00,1.528946943882482090e-01
5.728643216080402389e+00,1.552603080816156722e-01
5.829145728643216451e+00,1.588830423198778485e-01
5.929648241206030512e+00,1.636304564417417617e-01
6.030150753768844574e+00,1.693755601176874792e-01
6.130653266331658635e+00,1.759954998231508250e-01
6.231155778894472697e+00,1.833289709245606303e-01
6.331658291457286758e+00,1.912218130016680173e-01
6.432160804020100819e+00,1.994898919894239064e-01
6.532663316582914881e+00,2.079212295097888075e-01
6.633165829145728942e+00,2.163013742919374094e-01
6.733668341708543004e+00,2.243609727804456999e-01
6.834170854271357065e+00,2.318488659350705361e-01
6.934673366834171127e+00,2.384681554442802387e-01
7.035175879396985188e+00,2.439554768193179513e-01
7.135678391959799249e+00,2.480293493725505005e-01
7.236180904522613311e+00,2.504623534292669818e-01
7.336683417085427372e+00,2.510804580843840061e-01
7.437185929648241434e+00,2.497825923625832112e-01
7.537688442211055495e+00,2.425108427009656786e-01
7.638190954773869557e+00,2.329646045942599941e-01
7.738693467336683618e+00,2.248514022314274663e-01
7.839195979899497679e+00,2.183478525979724583e-01
7.939698492462311741e+00,2.135793304513935453e-01
8.040201005025126690e+00,2.088250558022453629e-01
8.140703517587940752e+00,1.994119178683857463e-01
8.241206030150754813e+00,1.903373233358012784e-01
8.341708542713568875e+00,1.819886182902591409e-01
8.442211055276382936e+00,1.745644918239191712e-01
8.542713567839196998e+00,1.683020873823076191e-01
8.643216080402011059e+00,1.633568260922841353e-01
8.743718592964825120e+00,1.597855729474669528e-01
8.844221105527639182e+00,1.576650481709884755e-01
8.944723618090453243e+00,1.569287925505558068e-01
9.045226130653267305e+00,1.575745757627548260e-01
9.145728643216081366e+00,1.595100298712516240e-01
9.246231155778895427e+00,1.626793747285715241e-01
9.346733668341709489e+00,1.669980380879485526e-01
9.447236180904523550e+00,1.723728709686700722e-01
9.547738693467337612e+00,1.787266034292498140e-01
9.648241206030151673e+00,1.840773409012236572e-01
9.748743718592965735e+00,1.874996891254025466e-01
9.849246231155779796e+00,1.914603839902863924e-01
9.949748743718593857e+00,1.959238105365848359e-01
1.005025125628140792e+01,2.008535254519207558e-01
1.015075376884422198e+01,2.061859419113480918e-01
1.025125628140703604e+01,2.119045365888651555e-01
1.035175879396985010e+01,2.179298242265262642e-01
1.045226130653266416e+01,2.242052488507147168e-01
1.055276381909547823e+01,2.306325947151809941e-01
1.065326633165829229e+01,2.370863170960066657e-01
1.075376884422110635e+01,2.434203954899437916e-01
1.085427135678392041e+01,2.494400010475323337e-01
1.095477386934673447e+01,2.549178202681846028e-01
1.105527638190954853e+01,2.596564513697031673e-01
1.115577889447236259e+01,2.593483453680919815e-01
1.125628140703517666e+01,2.511281130127091532e-01
1.135678391959799072e+01,2.440254908975218184e-01
1.145728643216080478e+01,2.380986548223447408e-01
1.155778894472361884e+01,2.333239735787455416e-01
1.165829145728643290e+01,2.297993609845849217e-01
1.175879396984924696e+01,2.276189100913212915e-01
1.185929648241206102e+01,2.231661488133161453e-01
1.195979899497487509e+01,2.200456523298165434e-01
1.206030150753768915e+01,2.187428832560425751e-01
1.216080402010050321e+01,2.120574303570142427e-01
1.226130653266331727e+01,2.024078859489384374e-01
1.236180904522613133e+01,1.939491761919598933e-01
1.246231155778894539e+01,1.868398000106425427e-01
1.256281407035175945e+01,1.811974473125662621e-01
1.266331658291457352e+01,1.770957543503134113e-01
1.276381909547738758e+01,1.745026053683362832e-01
1.286432160804020164e+01,1.734429280693609299e-01
1.296482412060301570e+01,1.737903936733630195e-01
1.306532663316582976e+01,1.755360230789086984e-01
1.316582914572864382e+01,1.785866100763039976e-01
1.326633165829145788e+01,1.828356079819669633e-01
1.336683417085427195e+01,1.878360496472576968e-01
1.346733668341708601e+01,1.914187140994740022e-01
1.356783919597990007e+01,1.959098545532576008e-01
1.366834170854271413e+01,2.012709280582316851e-01
1.376884422110552819e+01,2.074390980117769012e-01
1.386934673366834225e+01,2.143672491634376898e-01
1.396984924623115631e+01,2.219910714250330208e-01
1.407035175879397038e+01,2.301898555228201193e-01
1.417085427135678444e+01,2.388656023033594311e-01
1.427135678391959850e+01,2.478413132122081197e-01
1.437185929648241256e+01,2.569005890746255960e-01
1.447236180904522662e+01,2.657905822842294707e-01
1.457286432160804068e+01,2.741981219358841093e-01
1.467336683417085474e+01,2.789111425795394172e-01
1.477386934673366881e+01,2.685226470078875272e-01
1.487437185929648287e+01,2.546185577224372443e-01
1.497487437185929693e+01,2.416083420838944784e-01
1.507537688442211099e+01,2.296059246034796719e-01
1.517587939698492505e+01,2.188713334733019544e-01
1.527638190954773911e+01,2.096136550771533491e-01
1.537688442211055317e+01,2.018834581562493624e-01
1.547738693467336724e+01,1.958242120475056081e-01
1.557788944723618130e+01,1.915838709774763671e-01
1.567839195979899536e+01,1.893074695057979651e-01
1.577889447236180942e+01,1.891146821933533118e-01
1.587939698492462348e+01,1.853120893885199516e-01
1.597989949748743754e+01,1.752623055806410424e-01
1.608040201005025338e+01,1.667763376497439498e-01
1.618090452261306567e+01,1.600087999788257220e-01
1.628140703517588150e+01,1.550134275191562272e-01
1.638190954773869379e+01,1.517589542115778400e-01
1.648241206030150963e+01,1.502024523592665195e-01
1.658291457286432191e+01,1.502060647995729636e-01
1.668341708542713775e+01,1.517552449997636999e-01
1.678391959798995003e+01,1.546612189198262877e-01
1.688442211055276587e+01,1.588619026565439574e-01
1.698492462311557816e+01,1.642123153410448289e-01
1.708542713567839400e+01,1.705789038672762270e-01
1.718592964824120628e+01,1.778359894763886784e-01
1.728643216080402212e+01,1.858110373338925370e-01
1.738693467336683440e+01,1.943342246339803681e-01
1.748743718592965024e+01,2.032193150853142116e-01
1.758793969849246253e+01,2.122204965978218838e-01
1.768844221105527836e+01,2.211188459978347676e-01
1.778894472361809065e+01,2.296084125542522947e-01
1.788944723618090649e+01,2.374173491904669198e-01
1.798994974874371877e+01,2.442187975664827926e-01
1.809045226130653461e+01,2.497175529751822221e-01
1.819095477386934689e+01,2.536206921513602941e-01
1.829145728643216273e+01,2.556757477785213117e-01
1.839195979899497502e+01,2.557074243339232944e-01
1.849246231155779085e+01,2.473719095658212241e-01
1.859296482412060314e+01,2.362085351985214188e-01
1.869346733668341898e+01,2.264430840569393588e-01
1.879396984924623126e+01,2.182201607005678223e-01
1.889447236180904710e+01,2.117523935522405143e-01
1.899497487437185939e+01,2.071842252921072269e-01
1.909547738693467522e+01,2.046246424876208558e-01
1.919597989949748751e+01,1.959560478753249457e-01
1.929648241206030335e+01,1.862201972887205792e-01
1.939698492462311563e+01,1.774210631637352931e-01
1.949748743718593147e+01,1.697666191391193347e-01
1.959798994974874375e+01,1.634708843648868537e-01
1.969849246231155959e+01,1.586687848509433507e-01
1.979899497487437188e+01,1.553583146839941642e-01
1.989949748743718771e+01,1.535597581830540626e-01
2.000000000000000000e+01,1.533215274765983016e-01
