time,R_spec
0.000000000000000000e+00,3.000000000838918268e-01
1.004016064257028107e-01,2.961650242090622109e-01
2.008032128514056214e-01,2.982916197086130095e-01
3.012048192771084043e-01,3.058977632153800919e-01
4.016064257028112428e-01,3.188933650597310931e-01
5.020080321285140812e-01,3.377077054709854975e-01
6.024096385542168086e-01,3.637605562690316430e-01
7.028112449799196471e-01,4.009686265279535089e-01
8.032128514056224855e-01,4.268279598131392572e-01
9.036144578313253239e-01,4.492239912915761968e-01
1.004016064257028162e+00,3.825312964304971586e-01
1.104417670682730890e+00,2.800395212820252500e-01
1.204819277108433617e+00,2.219516974989775293e-01
1.305220883534136567e+00,1.863625619356077123e-01
1.405622489959839294e+00,1.598374361578880909e-01
1.506024096385542244e+00,1.362799211248587605e-01
1.606425702811244971e+00,1.206783238403343894e-01
1.706827309236947698e+00,1.134340025218439074e-01
1.807228915662650648e+00,1.106097868173215870e-01
1.907630522088353375e+00,1.147023742096442422e-01
2.008032128514056325e+00,1.211582553728403899e-01
2.108433734939759052e+00,1.399169869703328350e-01
2.208835341365461780e+00,1.880742489679924911e-01
2.309236947791164507e+00,2.730339333661988555e-01
2.409638554216867234e+00,2.663105020547338331e-01
2.510040160642570406e+00,2.354651244380597530e-01
2.610441767068273133e+00,2.306781727892741607e-01
2.710843373493975861e+00,2.317529143419411186e-01
2.811244979919678588e+00,2.530378032934827437e-01
2.911646586345381316e+00,2.751073192526571898e-01
3.012048192771084487e+00,3.091776372487927138e-01
3.112449799196787215e+00,3.603050834553557791e-01
3.212851405622489942e+00,4.150685295598048330e-01
3.313253012048192669e+00,4.972207082492476893e-01
3.413654618473895397e+00,6.566502189929199762e-01
3.514056224899598568e+00,7.934692107066654287e-01
3.614457831325301296e+00,6.016659495306088123e-01
3.714859437751004023e+00,4.914147845557719774e-01
3.815261044176706751e+00,4.345032971546987088e-01
3.915662650602409478e+00,3.989296798913491982e-01
4.016064257028112650e+00,3.753069380907013697e-01
4.116465863453814933e+00,3.601235824913391337e-01
4.216867469879518104e+00,3.520064182251095852e-01
4.317269076305221276e+00,3.372045355638830788e-01
4.417670682730923559e+00,3.154269153516777724e-01
4.518072289156626731e+00,3.024103073991817325e-01
4.618473895582329014e+00,2.966504516226229349e-01
4.718875502008032186e+00,2.970736112545714347e-01
4.819277108433734469e+00,3.030794139483831695e-01
4.919678714859437640e+00,3.144571193381652252e-01
5.020080321285140812e+00,3.314540545730115806e-01
5.120481927710843095e+00,3.551093528330805382e-01
5.220883534136546267e+00,3.883085486283822108e-01
5.321285140562248550e+00,4.275125930914626116e-01
5.421686746987951722e+00,4.452223096395735991e-01
5.522088353413654893e+00,4.141184892993277633e-01
5.622489959839357176e+00,3.072706550030550599e-01
5.722891566265060348e+00,2.357837020359792868e-01
5.823293172690762631e+00,1.956116306031423779e-01
5.923694779116465803e+00,1.675371585487881176e-01
6.024096385542168974e+00,1.424208389161048804e-01
6.124497991967871258e+00,1.244970902545614877e-01
6.224899598393574429e+00,1.145990096607678865e-01
6.325301204819276712e+00,1.112926270970652776e-01
6.425702811244979884e+00,1.122315229158012267e-01
6.526104417670683056e+00,1.193801902693357037e-01
6.626506024096385339e+00,1.318712396999801306e-01
6.726907630522088510e+00,1.699385374393417858e-01
6.827309236947790794e+00,2.551372967812601256e-01
6.927710843373493965e+00,2.645578407664075926e-01
7.028112449799197137e+00,2.419226161355578775e-01
7.128514056224899420e+00,2.300824753159328995e-01
7.228915662650602592e+00,2.293596965259601939e-01
7.329317269076304875e+00,2.444918875380551193e-01
7.429718875502008046e+00,2.678587337497712606e-01
7.530120481927711218e+00,2.974295514925832107e-01
7.630522088353413501e+00,3.430841112613936539e-01
7.730923694779116673e+00,3.976117119076274520e-01
7.831325301204818956e+00,4.677431413561498608e-01
7.931726907630522128e+00,5.994289538381760707e-01
8.032128514056225299e+00,7.746487506853103611e-01
8.132530120481927582e+00,6.603583201875774522e-01
8.232931726907629866e+00,5.157809240411714846e-01
8.333333333333333925e+00,4.484639652796156839e-01
8.433734939759036209e+00,4.079981328136014773e-01
8.534136546184738492e+00,3.813433821780531918e-01
8.634538152610442552e+00,3.638597944962466690e-01
8.734939759036144835e+00,3.537159566072178296e-01
8.835341365461847118e+00,3.460292491704187734e-01
8.935742971887549402e+00,3.209313800213680068e-01
9.036144578313253461e+00,3.054560581352052662e-01
9.136546184738955745e+00,2.976781884514780319e-01
9.236947791164658028e+00,2.963455111770336714e-01
9.337349397590362088e+00,3.007320277217397364e-01
9.437751004016064371e+00,3.105117607299164861e-01
9.538152610441766655e+00,3.257771462781322569e-01
9.638554216867468938e+00,3.472701752257735253e-01
9.738955823293172998e+00,3.771300332477897088e-01
9.839357429718875281e+00,4.214218237294269365e-01
9.939759036144577564e+00,4.326750512902902135e-01
1.004016064257028162e+01,4.354694008271932093e-01
1.014056224899598391e+01,3.442105394028019405e-01
1.024096385542168619e+01,2.520346616655971816e-01
1.034136546184739025e+01,2.058624027990570426e-01
1.044176706827309253e+01,1.750363838788544235e-01
1.054216867469879482e+01,1.492734644174666947e-01
1.064257028112449710e+01,1.290102385636396898e-01
1.074297188755020116e+01,1.166351000795157050e-01
1.084337349397590344e+01,1.126205705240966026e-01
1.094377510040160573e+01,1.109124902668018747e-01
1.104417670682730979e+01,1.189059792205371946e-01
1.114457831325301207e+01,1.260774963689762218e-01
1.124497991967871435e+01,1.553737106913350985e-01
1.134538152610441841e+01,2.219346010802578650e-01
1.144578313253012070e+01,2.660350119557048365e-01
1.154618473895582298e+01,2.517487668502932374e-01
1.164658634538152526e+01,2.308987625842238156e-01
1.174698795180722932e+01,2.287103488653106087e-01
1.184738955823293161e+01,2.378658472295487325e-01
1.194779116465863389e+01,2.618702251078166010e-01
1.204819277108433795e+01,2.870837602297345303e-01
1.214859437751004023e+01,3.276430856532889235e-01
1.224899598393574252e+01,3.821386128592497711e-01
1.234939759036144658e+01,4.430974570670017654e-01
1.244979919678714886e+01,5.488645480531393339e-01
1.255020080321285114e+01,7.345771398033099642e-01
1.265060240963855342e+01,7.319558178823055705e-01
1.275100401606425748e+01,5.459373046806372809e-01
1.285140562248995977e+01,4.646280674831166912e-01
1.295180722891566205e+01,4.182409744842208177e-01
1.305220883534136611e+01,3.881733722048250623e-01
1.315261044176706839e+01,3.682367833745837649e-01
1.325301204819277068e+01,3.560157037003124358e-01
1.335341365461847296e+01,3.506207494938382574e-01
1.345381526104417702e+01,3.272902897148448065e-01
1.355421686746987930e+01,3.091763050395065493e-01
1.365461847389558159e+01,2.992717977739259849e-01
1.375502008032128565e+01,2.961200156366869951e-01
1.385542168674698793e+01,2.988584003209042161e-01
1.395582329317269021e+01,3.070469871054624100e-01
1.405622489959839427e+01,3.206420963091033971e-01
1.415662650602409656e+01,3.401483574316834235e-01
1.425702811244979884e+01,3.671519066358338579e-01
1.435742971887550112e+01,4.060441097809086575e-01
1.445783132530120518e+01,4.274821192715998475e-01
1.455823293172690747e+01,4.455281826314688165e-01
1.465863453815260975e+01,3.718168627557431050e-01
1.475903614457831381e+01,2.716999497768615712e-01
1.485943775100401609e+01,2.173655724527082667e-01
1.495983935742971838e+01,1.831938026218209725e-01
1.506024096385542244e+01,1.568675976748254985e-01
1.516064257028112472e+01,1.342079417021104781e-01
1.526104417670682700e+01,1.194598821429948277e-01
1.536144578313252929e+01,1.132479191434562771e-01
1.546184738955823335e+01,1.105407402276703810e-01
1.556224899598393563e+01,1.159455123148622480e-01
1.566265060240963791e+01,1.221733464924853740e-01
1.576305220883534197e+01,1.435073769091156914e-01
1.586345381526104426e+01,1.960175863359775450e-01
1.596385542168674654e+01,2.711863403232472325e-01
1.606425702811245060e+01,2.659398540823224577e-01
1.616465863453815288e+01,2.338048543995354667e-01
1.626506024096385516e+01,2.298232588813968746e-01
1.636546184738955745e+01,2.330654141643591637e-01
1.646586345381525973e+01,2.566685384199893782e-01
1.656626506024096201e+01,2.780767579367121600e-01
1.666666666666666785e+01,3.138402934192463523e-01
1.676706827309237013e+01,3.670806802757008436e-01
1.686746987951807242e+01,4.220457590593699182e-01
1.696787148594377470e+01,5.095506191506389282e-01
1.706827309236947698e+01,6.769798166439949805e-01
1.716867469879517927e+01,7.761531584849555854e-01
1.726907630522088510e+01,5.845785298338057601e-01
1.736947791164658739e+01,4.836065566478771061e-01
1.746987951807228967e+01,4.298598826838572196e-01
1.757028112449799195e+01,3.958758897005174582e-01
1.767068273092369424e+01,3.732855175042756324e-01
1.777108433734939652e+01,3.589129871322556675e-01
1.787148594377509880e+01,3.515284562814884328e-01
1.797188755020080464e+01,3.343207304545365854e-01
1.807228915662650692e+01,3.136149406188500355e-01
1.817269076305220921e+01,3.014576459092446203e-01
1.827309236947791149e+01,2.964117697511039484e-01
1.837349397590361377e+01,2.974634292368656396e-01
1.847389558232931606e+01,3.040561771116493395e-01
1.857429718875501834e+01,3.160225337759213216e-01
1.867469879518072418e+01,3.336727247612252256e-01
1.877510040160642646e+01,3.581738852419301677e-01
1.887550200803212874e+01,3.927494423603504758e-01
1.897590361445783103e+01,4.268919196727300469e-01
1.907630522088353331e+01,4.526191448419658592e-01
1.917670682730923559e+01,4.021576314168422428e-01
1.927710843373493788e+01,2.964365827807199927e-01
1.937751004016064371e+01,2.304834650324482925e-01
1.947791164658634600e+01,1.921233806531248978e-01
1.957831325301204828e+01,1.649415781201153397e-01
1.967871485943775056e+01,1.400936071424389584e-01
1.977911646586345285e+01,1.230189656724696295e-01
1.987951807228915513e+01,1.140665916447048678e-01
1.997991967871486096e+01,1.109633329441704619e-01
2.008032128514056325e+01,1.129889735832049491e-01
2.018072289156626553e+01,1.198696349025944879e-01
2.028112449799196781e+01,1.345312139677690144e-01
2.038152610441767010e+01,1.760009595690921191e-01
2.048192771084337238e+01,2.694467883425740728e-01
2.058232931726907466e+01,2.648468198770096427e-01
2.068273092369478050e+01,2.392116347320671910e-01
2.078313253012048278e+01,2.302463973470363079e-01
2.088353413654618507e+01,2.300331954957214875e-01
2.098393574297188735e+01,2.473890415765819251e-01
2.108433734939758963e+01,2.703633564057322247e-01
2.118473895582329192e+01,3.015602014502586359e-01
2.128514056224899420e+01,3.491682958488397936e-01
2.138554216867470004e+01,4.037430364850613795e-01
2.148594377510040232e+01,4.778828981723957647e-01
2.158634538152610460e+01,6.218368714510014161e-01
2.168674698795180689e+01,7.911645421175288462e-01
2.178714859437750917e+01,6.364739672139587690e-01
2.188755020080321145e+01,5.063011834763483376e-01
2.198795180722891729e+01,4.431288482061929712e-01
2.208835341365461957e+01,4.045548326694440311e-01
2.218875502008032186e+01,3.790478679358568748e-01
2.228915662650602414e+01,3.624211590584330844e-01
2.238955823293172642e+01,3.530233760795612463e-01
2.248995983935742871e+01,3.426378593515656545e-01
2.259036144578313099e+01,3.188233253503583997e-01
2.269076305220883683e+01,3.042667579615313533e-01
2.279116465863453911e+01,2.972387547091344673e-01
2.289156626506024139e+01,2.965550693113812031e-01
2.299196787148594368e+01,3.015367268172059467e-01
2.309236947791164596e+01,3.118995489562683132e-01
2.319277108433734824e+01,3.277900649783295206e-01
2.329317269076305053e+01,3.500509598721656679e-01
2.339357429718875636e+01,3.810680707495314179e-01
2.349397590361445864e+01,4.276979830634812241e-01
2.359437751004016093e+01,4.362017219262637191e-01
2.369477911646586321e+01,4.318069447566360020e-01
2.379518072289156549e+01,3.292110151946401331e-01
2.389558232931726778e+01,2.457566656429524266e-01
2.399598393574297006e+01,2.019824682922857217e-01
2.409638554216867590e+01,1.722217372490406906e-01
2.419678714859437818e+01,1.466825162596045729e-01
2.429718875502008046e+01,1.272797456316018261e-01
2.439759036144578275e+01,1.157952663595579468e-01
2.449799196787148503e+01,1.120654859229473499e-01
2.459839357429718731e+01,1.112758128262768542e-01
2.469879518072289315e+01,1.189393591238306208e-01
2.479919678714859543e+01,1.279606093282943391e-01
2.489959839357429772e+01,1.605496535823033311e-01
2.500000000000000000e+01,2.331502123917693070e-01
