time,x1,x2,x3,x4
0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,3.500000000000000000e+00
1.010101010101010083e-01,1.024763851001164072e+00,1.486678039684900199e+00,2.915847409621430852e+00,3.174746223784674637e+00
2.020202020202020166e-01,1.157542992179210639e+00,1.193488502743722757e+00,2.880742678665910717e+00,2.955698482238377611e+00
3.030303030303030387e-01,1.369288327127343718e+00,1.006946076324322537e+00,2.807213787057668775e+00,2.844658703122759480e+00
4.040404040404040331e-01,1.640088347213733755e+00,8.883061956603744980e-01,2.652052149962110139e+00,2.819562532778582042e+00
5.050505050505050830e-01,1.941773111700043408e+00,8.226232755874822722e-01,2.409230020764992819e+00,2.858708950775302071e+00
6.060606060606060774e-01,2.235059033232724701e+00,8.039526933839168388e-01,2.104525261915063616e+00,2.941274188016137270e+00
7.070707070707070718e-01,2.477779919857229896e+00,8.295947094480971007e-01,1.779690551933031939e+00,3.045179858771828840e+00
8.080808080808080662e-01,2.637462030364740251e+00,8.988118403820202218e-01,1.475533595595710512e+00,3.147762786107005439e+00
9.090909090909090606e-01,2.699553530685461222e+00,1.011757025653549302e+00,1.218950029676098001e+00,3.230631461403484117e+00
1.010101010101010166e+00,2.666348390772463883e+00,1.168222412942731214e+00,1.020580826007293052e+00,3.283607418504237430e+00
1.111111111111111160e+00,2.550634210883836239e+00,1.365839273037660950e+00,8.794613056100923920e-01,3.305193716561557249e+00
1.212121212121212155e+00,2.369755354252655266e+00,1.597948926620460508e+00,7.897816327319532315e-01,3.299493071030832780e+00
1.313131313131313149e+00,2.143473524051272339e+00,1.851202162181153410e+00,7.458000949939761481e-01,3.272543681310134733e+00
1.414141414141414144e+00,1.892720760042960526e+00,2.107158407234885455e+00,7.436618145875985020e-01,3.230363413287060226e+00
1.515151515151515138e+00,1.638771947257654293e+00,2.341906715599953337e+00,7.828522068573817716e-01,3.178916831637179641e+00
1.616161616161616132e+00,1.400777558301204095e+00,2.530538464674765287e+00,8.657588572731572674e-01,3.122701863365257235e+00
1.717171717171717127e+00,1.193427435624614841e+00,2.650554461659814454e+00,9.965007854142639010e-01,3.064308339801091741e+00
1.818181818181818121e+00,1.026135596458414900e+00,2.684916225785386690e+00,1.179212442033319652e+00,3.004925605499890295e+00
1.919191919191919116e+00,9.029310963097137988e-01,2.626009946387935834e+00,1.415160134973070249e+00,2.945308955404132956e+00
2.020202020202020332e+00,8.248270001156882136e-01,2.477989344968567931e+00,1.698150343635526305e+00,2.885736530244925824e+00
2.121212121212121104e+00,7.918885799767163558e-01,2.256618289979452019e+00,2.010887429149935901e+00,2.827166303691754923e+00
2.222222222222222321e+00,8.049112316044780835e-01,1.987355733721158479e+00,2.325158367101884060e+00,2.772218765303578802e+00
2.323232323232323093e+00,8.667922412112769592e-01,1.702648735571369976e+00,2.603169062524259392e+00,2.725861707047993132e+00
2.424242424242424310e+00,9.825496750976926430e-01,1.433656367932087949e+00,2.805185319269608346e+00,2.694340135960879401e+00
2.525252525252525082e+00,1.156646882401283660e+00,1.202954784971660196e+00,2.898774257947388300e+00,2.684634093829076029e+00
2.626262626262626299e+00,1.388789328045501703e+00,1.023450751025332339e+00,2.865483581322731954e+00,2.703160196486804612e+00
2.727272727272727071e+00,1.669963387299039592e+00,8.992010931549931918e-01,2.705111109841323191e+00,2.754319980681989577e+00
2.828282828282828287e+00,1.974995628026457117e+00,8.280673512027980632e-01,2.441859967145934007e+00,2.836951017749776316e+00
2.929292929292929060e+00,2.266100821346400895e+00,8.061571398238334130e-01,2.116778059274008861e+00,2.942323504887031760e+00
3.030303030303030276e+00,2.502956444903292166e+00,8.305167491762593945e-01,1.777894657698121383e+00,3.056202813287085984e+00
3.131313131313131048e+00,2.655189547277440720e+00,8.998087584678476913e-01,1.466730968251762857e+00,3.161178281210492269e+00
3.232323232323232265e+00,2.709722303301745683e+00,1.013555268897853745e+00,1.208097938658265758e+00,3.241717319729629398e+00
3.333333333333333481e+00,2.670570598091505321e+00,1.171438840694313699e+00,1.010234352301071503e+00,3.291132274058307772e+00
3.434343434343434254e+00,2.550573727807118996e+00,1.370875725065129114e+00,8.705698820574571117e-01,3.309532916136645131e+00
3.535353535353535470e+00,2.366586124303426963e+00,1.604680557968406474e+00,7.824244996369160710e-01,3.301401150684444730e+00
3.636363636363636243e+00,2.137852344407045635e+00,1.859976394395628230e+00,7.397891470063644448e-01,3.272769391205226253e+00
3.737373737373737459e+00,1.885365578061482195e+00,2.117488103246074616e+00,7.389949526993663254e-01,3.230013525459539458e+00
3.838383838383838231e+00,1.630299438241382015e+00,2.353207965053826012e+00,7.794946800558270050e-01,3.178489747938222365e+00
3.939393939393939448e+00,1.391855444024744592e+00,2.541831019518341783e+00,8.634632058546241051e-01,3.122134568977346092e+00
4.040404040404040664e+00,1.184701199643495739e+00,2.660303549597618833e+00,9.955500235005579901e-01,3.063445637354041295e+00
4.141414141414140992e+00,1.018044639213531832e+00,2.692263264004212786e+00,1.179928150537975062e+00,3.004014437014672190e+00
4.242424242424242209e+00,8.959597266106319458e-01,2.630189004205918835e+00,1.418049858103980432e+00,2.944367179451012007e+00
4.343434343434343425e+00,8.192132604318984601e-01,2.478437862238075162e+00,1.703894367262033471e+00,2.884152532057847385e+00
4.444444444444444642e+00,7.876508131383345157e-01,2.252793020493502940e+00,2.019731664681615690e+00,2.824458606128354532e+00
4.545454545454544970e+00,8.019163530132734641e-01,1.979642914540507004e+00,2.336582911865498158e+00,2.768481700020518410e+00
4.646464646464646187e+00,8.654010772340630098e-01,1.692943266234806288e+00,2.615825044590948778e+00,2.722043964398979110e+00
4.747474747474747403e+00,9.831939125157038717e-01,1.423400354200579754e+00,2.817733650958889946e+00,2.690478994910767696e+00
4.848484848484848619e+00,1.159563778666641287e+00,1.193951669581726049e+00,2.908646316671466892e+00,2.680862832595242828e+00
4.949494949494949836e+00,1.394789006244669283e+00,1.015958265659006488e+00,2.869256595309397362e+00,2.701385659880225276e+00
5.050505050505050164e+00,1.678569611310281928e+00,8.935730408105284628e-01,2.704132531041528065e+00,2.755918451538693414e+00
5.151515151515151381e+00,1.985661578202631006e+00,8.249414367867977660e-01,2.436851816711151919e+00,2.840967167128792159e+00
5.252525252525252597e+00,2.277265954236899148e+00,8.049658781421604736e-01,2.107912413468317592e+00,2.946656898942791702e+00
5.353535353535353813e+00,2.512107953967503970e+00,8.307945646455318078e-01,1.765486850802241880e+00,3.062982585170269001e+00
5.454545454545454142e+00,2.660081714259869390e+00,9.012267969612146601e-01,1.451973955367086067e+00,3.168265188034635305e+00
5.555555555555555358e+00,2.709410768060297237e+00,1.016723513140500801e+00,1.195262691789297671e+00,3.244193675468803217e+00
5.656565656565656575e+00,2.667842087987026378e+00,1.176983571857294075e+00,1.000517081832908328e+00,3.291343864322534341e+00
5.757575757575757791e+00,2.545795610656746089e+00,1.378791988556455461e+00,8.637211017496478904e-01,3.308709908732252458e+00
5.858585858585858119e+00,2.359597909450201758e+00,1.614564913962892589e+00,7.776554487189459852e-01,3.300569442318626034e+00
5.959595959595959336e+00,2.130241997640214713e+00,1.870365100064918851e+00,7.363486771124524433e-01,3.272371522147469847e+00
6.060606060606060552e+00,1.877746145775579523e+00,2.127033447352183693e+00,7.366453465829868597e-01,3.229787987709652253e+00
6.161616161616161769e+00,1.621959160443745329e+00,2.362496876397850887e+00,7.782627396340794368e-01,3.177716466026807129e+00
6.262626262626262097e+00,1.383242989733866279e+00,2.550013131509918374e+00,8.639396407138791867e-01,3.120601434632081173e+00
6.363636363636363313e+00,1.176741076121754048e+00,2.666498040609980968e+00,9.980400006959849746e-01,3.061547414620305219e+00
6.464646464646464530e+00,1.011077305088565526e+00,2.695751265904327010e+00,1.184952331812074933e+00,3.001658647894729803e+00
6.565656565656565746e+00,8.900051835907291098e-01,2.630767882484478015e+00,1.425638464834425356e+00,2.941387839928900849e+00
6.666666666666666963e+00,8.141260817026836349e-01,2.476481632892344464e+00,1.713256192896454921e+00,2.881209093708369195e+00
6.767676767676767291e+00,7.834826732172273100e-01,2.249026709254478895e+00,2.030337677413915465e+00,2.822286870245937163e+00
6.868686868686868507e+00,7.989266769119232059e-01,1.975054532500973403e+00,2.347546116057881438e+00,2.767227615908220084e+00
6.969696969696969724e+00,8.635872309769788702e-01,1.687533893567287002e+00,2.626051458244219372e+00,2.720913842407340244e+00
7.070707070707070940e+00,9.826085214755266861e-01,1.417421746846646347e+00,2.825925418204150663e+00,2.689903705510611420e+00
7.171717171717171269e+00,1.160447427018882705e+00,1.186457291723261642e+00,2.915564265867586879e+00,2.681021702694046382e+00
7.272727272727272485e+00,1.397845690529779805e+00,1.009090750961029848e+00,2.874221159349717336e+00,2.701142779773742397e+00
7.373737373737373701e+00,1.683735272320206811e+00,8.872352053762735391e-01,2.706112518621196283e+00,2.755077841997058297e+00
7.474747474747474918e+00,1.992237990070727882e+00,8.183972711031199943e-01,2.435557638632585675e+00,2.839951449511974868e+00
7.575757575757575246e+00,2.284706199288835560e+00,7.985811075337632126e-01,2.104561484488332912e+00,2.947175051892137798e+00
7.676767676767676463e+00,2.521062125337968141e+00,8.251650810971093986e-01,1.762335011206685342e+00,3.062438689035138051e+00
7.777777777777777679e+00,2.671307857872812885e+00,8.969682162159825500e-01,1.450119057633362241e+00,3.168430428937964560e+00
7.878787878787878896e+00,2.721525776625529858e+00,1.013224888698270210e+00,1.192236275289062730e+00,3.248617313317068600e+00
7.979797979797979224e+00,2.677387730329210846e+00,1.173740932668924764e+00,9.958291935051674093e-01,3.296603155789113782e+00
8.080808080808081328e+00,2.552805624174366184e+00,1.376157018821631217e+00,8.581656218861376528e-01,3.313184584682705491e+00
8.181818181818181657e+00,2.364695853986050533e+00,1.612970209051253212e+00,7.720132187634571874e-01,3.303533658285594754e+00
8.282828282828281985e+00,2.132445693309622303e+00,1.871145375621025453e+00,7.311295948099818531e-01,3.273820675947745062e+00
8.383838383838384090e+00,1.877138299478410932e+00,2.130913012060860812e+00,7.319027578615340257e-01,3.230088060092612068e+00
8.484848484848484418e+00,1.620114819628432734e+00,2.367810099338760743e+00,7.739548329441657826e-01,3.177808688705570539e+00
8.585858585858586522e+00,1.380739849098325811e+00,2.556198019324781079e+00,8.598483681377757648e-01,3.120892790495926494e+00
8.686868686868686851e+00,1.173528942935547104e+00,2.673429410135890194e+00,9.939995450472143279e-01,3.061798060539411726e+00
8.787878787878787179e+00,1.007456127071544527e+00,2.702736339197091997e+00,1.181044408195365270e+00,3.001842830490844882e+00
8.888888888888889284e+00,8.861711019668904177e-01,2.637056573993881603e+00,1.422437713918950575e+00,2.941759722319805537e+00
8.989898989898989612e+00,8.104299906906069495e-01,2.481184421942455476e+00,1.711792429823092432e+00,2.881289840234324995e+00
9.090909090909089940e+00,7.799464912024283159e-01,2.251383511779485591e+00,2.031275778625990736e+00,2.821351420733379189e+00
9.191919191919192045e+00,7.953663301503394178e-01,1.974639854507370895e+00,2.351029045615989244e+00,2.765103997647657241e+00
9.292929292929292373e+00,8.602326507479353124e-01,1.685219485072037449e+00,2.631928699749448430e+00,2.718504169559134098e+00
9.393939393939394478e+00,9.797836271822774057e-01,1.414208030703029806e+00,2.833709791325611516e+00,2.687110249235034054e+00
9.494949494949494806e+00,1.158513472104231390e+00,1.184222013520140449e+00,2.922697555403996894e+00,2.678192639619887405e+00
9.595959595959595134e+00,1.396667948034349793e+00,1.006599038393125367e+00,2.880045664617497891e+00,2.699715767574399017e+00
9.696969696969697239e+00,1.683929252343567162e+00,8.849627823284146322e-01,2.710374784041322371e+00,2.755256397437444882e+00
9.797979797979797567e+00,1.993814657098642140e+00,8.168583188567000164e-01,2.437976262752323819e+00,2.840969927214793245e+00
9.898989898989899672e+00,2.287807894867550651e+00,7.976093022495521767e-01,2.104016697107081946e+00,2.948434898835870399e+00
1.000000000000000000e+01,2.522904549842148292e+00,8.241746870080591814e-01,1.760311128280530601e+00,3.065001335793788861e+00
