time,R_energy
0.000000000000000000e+00,-2.618115240121048828e+02
1.005025125628140753e-01,-1.761577268331962500e+02
2.010050251256281506e-01,-7.687581260009474704e+01
3.015075376884422398e-01,-2.577057609699035368e+01
4.020100502512563012e-01,-1.177252982114020163e+01
5.025125628140704181e-01,-8.484672218953216216e+00
6.030150753768844796e-01,-7.096641723369705446e+00
7.035175879396985410e-01,-6.007376053192012400e+00
8.040201005025126024e-01,-5.036680099952111966e+00
9.045226130653266639e-01,-4.186810478431717719e+00
1.005025125628140836e+00,-3.461006037283970826e+00
1.105527638190954898e+00,-2.851170177760778301e+00
1.206030150753768959e+00,-2.343728950332660599e+00
1.306532663316583021e+00,-1.923932788139249839e+00
1.407035175879397082e+00,-1.577875569283489376e+00
1.507537688442211143e+00,-1.293245049574593297e+00
1.608040201005025205e+00,-1.059481387189164181e+00
1.708542713567839266e+00,-8.676845752859969618e-01
1.809045226130653328e+00,-7.104296065776579683e-01
1.909547738693467389e+00,-5.815605906550370685e-01
2.010050251256281673e+00,-4.759942251200753316e-01
2.110552763819095734e+00,-3.895442046362342370e-01
2.211055276381909795e+00,-3.187695969742836977e-01
2.311557788944723857e+00,-2.608464681389278672e-01
2.412060301507537918e+00,-2.134605557515218688e-01
2.512562814070351980e+00,-1.747183721323994077e-01
2.613065326633166041e+00,-1.430741958584127727e-01
2.713567839195980103e+00,-1.172707130280653404e-01
2.814070351758794164e+00,-9.629147360957443502e-02
2.914572864321608225e+00,-7.932378764209296884e-02
3.015075376884422287e+00,-6.573119582452714715e-02
3.115577889447236348e+00,-5.503523324919958742e-02
3.216080402010050410e+00,-4.690691280114078765e-02
3.316582914572864471e+00,-4.116926303899726830e-02
3.417085427135678533e+00,-3.781347891775658360e-02
3.517587939698492594e+00,-3.703295004596476175e-02
3.618090452261306655e+00,-3.928186448102891082e-02
3.718592964824120717e+00,-4.536860189621459011e-02
3.819095477386934778e+00,-5.659924516728705168e-02
3.919597989949748840e+00,-7.499400294102120945e-02
4.020100502512563345e+00,-1.036102267922606734e-01
4.120603015075377407e+00,-1.470215672316376176e-01
4.221105527638191468e+00,-2.120258183812102903e-01
4.321608040201005529e+00,-3.086871596405549312e-01
4.422110552763819591e+00,-4.518658409599486392e-01
4.522613065326633652e+00,-6.634549653948783599e-01
4.623115577889447714e+00,-9.756356161022066154e-01
4.723618090452261775e+00,-1.435582674090495781e+00
4.824120603015075837e+00,-2.112202514301256162e+00
4.924623115577889898e+00,-3.105638085029464257e+00
5.025125628140703959e+00,-4.560358642887195835e+00
5.125628140703518021e+00,-6.682435260548315270e+00
5.226130653266332082e+00,-9.760482863144941845e+00
5.326633165829146144e+00,-1.418613246338774658e+01
5.427135678391960205e+00,-2.045964906178243581e+01
5.527638190954774267e+00,-2.913903316331064985e+01
5.628140703517588328e+00,-4.062366251736542466e+01
5.728643216080402389e+00,-5.453257332872270524e+01
5.829145728643216451e+00,-6.844939412778134624e+01
5.929648241206030512e+00,-7.794444376920581874e+01
6.030150753768844574e+00,-9.013190604032273257e+01
6.130653266331658635e+00,-1.495127615157520324e+02
6.231155778894472697e+00,-2.635314638153510600e+02
6.331658291457286758e+00,-3.494116872896807422e+02
6.432160804020100819e+00,-3.715432795366252776e+02
6.532663316582914881e+00,-3.665742389868081546e+02
6.633165829145728942e+00,-3.552018370637679823e+02
6.733668341708543004e+00,-3.432537774810187443e+02
6.834170854271357065e+00,-3.350926231300948075e+02
6.934673366834171127e+00,-3.232391956261579367e+02
7.035175879396985188e+00,-2.628432889814789064e+02
7.135678391959799249e+00,-1.460679376008747852e+02
7.236180904522613311e+00,-5.520569043122907260e+01
7.336683417085427372e+00,-2.531995476011514157e+01
7.437185929648241434e+00,-1.935680877368849195e+01
7.537688442211055495e+00,-1.696603120519911556e+01
7.638190954773869557e+00,-1.466467369232503870e+01
7.738693467336683618e+00,-1.239727545161130529e+01
7.839195979899497679e+00,-1.033788272668850894e+01
7.939698492462311741e+00,-8.555035123764099581e+00
8.040201005025126690e+00,-7.049379996841632412e+00
8.140703517587940752e+00,-5.794262451074100539e+00
8.241206030150754813e+00,-4.755428020278632317e+00
8.341708542713568875e+00,-3.899118015814047489e+00
8.442211055276382936e+00,-3.194993681414481035e+00
8.542713567839196998e+00,-2.616896322091127658e+00
8.643216080402011059e+00,-2.142741886540540541e+00
8.743718592964825120e+00,-1.754101534725067912e+00
8.844221105527639182e+00,-1.435700600293066564e+00
8.944723618090453243e+00,-1.174931207492151408e+00
9.045226130653267305e+00,-9.614142057199536184e-01
9.145728643216081366e+00,-7.866201740837720502e-01
9.246231155778895427e+00,-6.435482503605399751e-01
9.346733668341709489e+00,-5.264572466905561576e-01
9.447236180904523550e+00,-4.306422429029473919e-01
9.547738693467337612e+00,-3.522499110693719793e-01
9.648241206030151673e+00,-2.881264382853427342e-01
9.748743718592965735e+00,-2.356927163333307207e-01
9.849246231155779796e+00,-1.928422939933642222e-01
9.949748743718593857e+00,-1.578583745879203470e-01
1.005025125628140792e+01,-1.293468707532359485e-01
1.015075376884422198e+01,-1.061832097086278931e-01
1.025125628140703604e+01,-8.747124075020103195e-02
1.035175879396985010e+01,-7.251327127669078554e-02
1.045226130653266416e+01,-6.079100284107945285e-02
1.055276381909547823e+01,-5.195802969097570306e-02
1.065326633165829229e+01,-4.584570460024667976e-02
1.075376884422110635e+01,-4.248572094752443851e-02
1.085427135678392041e+01,-4.215492278958136302e-02
1.095477386934673447e+01,-4.545095063942727887e-02
1.105527638190954853e+01,-5.341181720769834496e-02
1.115577889447236259e+01,-6.769904933367326683e-02
1.125628140703517666e+01,-9.087359278275561336e-02
1.135678391959799072e+01,-1.268076419446645953e-01
1.145728643216080478e+01,-1.812959029176291481e-01
1.155778894472361884e+01,-2.629592996375131886e-01
1.165829145728643290e+01,-3.845765862142904723e-01
1.175879396984924696e+01,-5.650397183945272683e-01
1.185929648241206102e+01,-8.322131945949273746e-01
1.195979899497487509e+01,-1.227091922987611827e+00
1.206030150753768915e+01,-1.809798986984733737e+00
1.216080402010050321e+01,-2.668132838235790061e+00
1.226130653266331727e+01,-3.929512104440723963e+00
1.236180904522613133e+01,-5.777115013746444205e+00
1.246231155778894539e+01,-8.470320727733053445e+00
1.256281407035175945e+01,-1.236701687918386128e+01
1.266331658291457352e+01,-1.793770958652611114e+01
1.276381909547738758e+01,-2.574027093910751773e+01
1.286432160804020164e+01,-3.626987243059897992e+01
1.296482412060301570e+01,-4.948330418343204684e+01
1.306532663316582976e+01,-6.374171576392546967e+01
1.316582914572864382e+01,-7.543390144371049644e+01
1.326633165829145788e+01,-8.990391274643619113e+01
1.336683417085427195e+01,-1.513992022282675407e+02
1.346733668341708601e+01,-2.793422269412853893e+02
1.356783919597990007e+01,-3.850966649034212423e+02
1.366834170854271413e+01,-4.162016371304991935e+02
1.376884422110552819e+01,-4.137309102185329266e+02
1.386934673366834225e+01,-4.042527185081320908e+02
1.396984924623115631e+01,-3.935369995428260950e+02
1.407035175879397038e+01,-3.848539505317725116e+02
1.417085427135678444e+01,-3.723440230693743160e+02
1.427135678391959850e+01,-3.113894519796195937e+02
1.437185929648241256e+01,-1.822125330080469894e+02
1.447236180904522662e+01,-7.301819061938898869e+01
1.457286432160804068e+01,-3.574881185801552874e+01
1.467336683417085474e+01,-2.885798729603739687e+01
1.477386934673366881e+01,-2.581593030673921874e+01
1.487437185929648287e+01,-2.244985908073677905e+01
1.497487437185929693e+01,-1.901028512072240773e+01
1.507537688442211099e+01,-1.585756843566416663e+01
1.517587939698492505e+01,-1.312187902841775511e+01
1.527638190954773911e+01,-1.081057790612462277e+01
1.537688442211055317e+01,-8.884137301509746010e+00
1.547738693467336724e+01,-7.290098647852245151e+00
1.557788944723618130e+01,-5.976502757727896409e+00
1.567839195979899536e+01,-4.896633125364025396e+00
1.577889447236180942e+01,-4.010232617249568143e+00
1.587939698492462348e+01,-3.283339669124797577e+00
1.597989949748743754e+01,-2.687632869143687042e+00
1.608040201005025338e+01,-2.199651370211265888e+00
1.618090452261306567e+01,-1.800039186149803072e+00
1.628140703517588150e+01,-1.472867737170279412e+00
1.638190954773869379e+01,-1.205050883399315875e+00
1.648241206030150963e+01,-9.858499111268691495e-01
1.658291457286432191e+01,-8.064595181464171425e-01
1.668341708542713775e+01,-6.596640323238835979e-01
1.678391959798995003e+01,-5.395532858701369561e-01
1.688442211055276587e+01,-4.412885627157118185e-01
1.698492462311557816e+01,-3.609102884279914436e-01
1.708542713567839400e+01,-2.951803956470001600e-01
1.718592964824120628e+01,-2.414534735616213901e-01
1.728643216080402212e+01,-1.975718662815132143e-01
1.738693467336683440e+01,-1.617808271051781599e-01
1.748743718592965024e+01,-1.326606867808965140e-01
1.758793969849246253e+01,-1.090737892036272166e-01
1.768844221105527836e+01,-9.012473374019915051e-02
1.778894472361809065e+01,-7.513329919720006245e-02
1.788944723618090649e+01,-6.362039014777176593e-02
1.798994974874371877e+01,-5.530855133082714786e-02
1.809045226130653461e+01,-5.014019378025953710e-02
1.819095477386934689e+01,-4.831888757980038612e-02
1.829145728643216273e+01,-5.038221910898419559e-02
1.839195979899497502e+01,-5.731924772839645105e-02
1.849246231155779085e+01,-7.075219982085488579e-02
1.859296482412060314e+01,-9.321168031580288893e-02
1.869346733668341898e+01,-1.285487655135681972e-01
1.879396984924623126e+01,-1.825478670903279976e-01
1.889447236180904710e+01,-2.638340380376604233e-01
1.899497487437185939e+01,-3.852112852265653364e-01
1.909547738693467522e+01,-5.656295259806141118e-01
1.919597989949748751e+01,-5.563528316533210560e-01
1.929648241206030335e+01,-5.433701811201065990e-01
1.939698492462311563e+01,-5.247690897782874009e-01
1.949748743718593147e+01,-4.977448228497312055e-01
1.959798994974874375e+01,-4.581679129343554369e-01
1.969849246231155959e+01,-3.999462472113241018e-01
1.979899497487437188e+01,-3.140848759054954975e-01
1.989949748743718771e+01,-1.873024399014277253e-01
2.000000000000000000e+01,-0.000000000000000000e+00
